FFT Results for N=16 
  Input       Real       Imaginary
   0.000    28.000     0.000 
   1.000    -9.137   -20.109 
   2.000    -4.000     9.657 
   3.000     2.380    -5.986 
   4.000    -4.000     4.000 
   5.000     3.277    -2.673 
   6.000    -4.000     1.657 
   7.000     3.480    -0.796 
   0.000    -4.000     0.000 
   0.000     3.480     0.796 
   0.000    -4.000    -1.657 
   0.000     3.277     2.673 
   0.000    -4.000    -4.000 
   0.000     2.380     5.986 
   0.000    -4.000    -9.657 
   0.000    -9.137    20.109 
